,Algorithm,n,time
940,SHAP-IQ,13,3.22963547706604
941,STAR-SHAP (5-STAR),14,4.753084421157837
942,SHAP,14,46.43580508232117
943,Kernel SHAP,14,3.395264148712158
944,Unbiased Kernel SHAP,14,3.222337484359741
945,SHAP-IQ,14,3.230379104614258
946,STAR-SHAP (5-STAR),15,4.724398851394653
947,Kernel SHAP,15,3.4358317852020264
948,Unbiased Kernel SHAP,15,3.2663207054138184
949,SHAP-IQ,15,3.3085548877716064
950,STAR-SHAP (5-STAR),16,4.75937557220459
951,Kernel SHAP,16,3.4309327602386475
952,Unbiased Kernel SHAP,16,3.2404732704162598
953,SHAP-IQ,16,3.2345378398895264
954,STAR-SHAP (5-STAR),17,4.773842811584473
955,Kernel SHAP,17,3.4757301807403564
956,Unbiased Kernel SHAP,17,3.257425546646118
957,SHAP-IQ,17,3.2714037895202637
958,STAR-SHAP (5-STAR),18,4.7865447998046875
959,Kernel SHAP,18,5.460749864578247
960,Unbiased Kernel SHAP,18,3.275104522705078
961,SHAP-IQ,18,3.2295122146606445
962,STAR-SHAP (5-STAR),19,4.785553693771362
963,Kernel SHAP,19,5.5621113777160645
964,Unbiased Kernel SHAP,19,3.3465206623077393
965,SHAP-IQ,19,3.289419174194336
966,STAR-SHAP (5-STAR),20,4.800470590591431
967,Kernel SHAP,20,5.509159803390503
968,Unbiased Kernel SHAP,20,3.2942326068878174
969,SHAP-IQ,20,3.254889488220215
970,STAR-SHAP (5-STAR),70,4.959058046340942
971,Kernel SHAP,70,6.2516865730285645
972,Unbiased Kernel SHAP,70,3.6368956565856934
973,SHAP-IQ,70,3.602308988571167
974,STAR-SHAP (5-STAR),120,5.080750465393066
975,Kernel SHAP,120,13.705344915390015
976,Unbiased Kernel SHAP,120,4.002681255340576
977,SHAP-IQ,120,3.9800589084625244
978,STAR-SHAP (5-STAR),170,5.200310945510864
979,Kernel SHAP,170,20.52183437347412
980,Unbiased Kernel SHAP,170,4.521437406539917
981,SHAP-IQ,170,4.471238613128662
982,STAR-SHAP (5-STAR),220,5.40083909034729
983,Kernel SHAP,220,25.69015908241272
984,Unbiased Kernel SHAP,220,4.96401309967041
985,SHAP-IQ,220,4.896553039550781
986,STAR-SHAP (5-STAR),270,5.513420104980469
987,Kernel SHAP,270,31.445778131484985
988,Unbiased Kernel SHAP,270,5.4784276485443115
989,SHAP-IQ,270,5.4809300899505615
990,STAR-SHAP (5-STAR),320,5.578345060348511
991,Kernel SHAP,320,37.14223384857178
992,Unbiased Kernel SHAP,320,6.039149045944214
993,SHAP-IQ,320,5.991763114929199
994,STAR-SHAP (5-STAR),370,5.7092673778533936
995,Kernel SHAP,370,41.305503129959106
996,Unbiased Kernel SHAP,370,6.629238605499268
997,SHAP-IQ,370,6.626743316650391
998,STAR-SHAP (5-STAR),420,5.843921661376953
999,Kernel SHAP,420,38.28781723976135
1000,Unbiased Kernel SHAP,420,7.263569593429565
1001,SHAP-IQ,420,7.26073431968689
1002,STAR-SHAP (5-STAR),470,5.9309608936309814
1003,Kernel SHAP,470,34.47025227546692
1004,Unbiased Kernel SHAP,470,7.9754579067230225
1005,SHAP-IQ,470,7.917123794555664
1006,STAR-SHAP (5-STAR),520,5.992156267166138
1007,Kernel SHAP,520,47.87984538078308
1008,Unbiased Kernel SHAP,520,8.760790824890137
1009,SHAP-IQ,520,8.757387161254883
1010,STAR-SHAP (5-STAR),570,6.125100135803223
1011,Kernel SHAP,570,53.53629231452942
1012,Unbiased Kernel SHAP,570,9.599452257156372
1013,SHAP-IQ,570,9.531431198120117
1014,STAR-SHAP (5-STAR),620,6.18974757194519
1015,Kernel SHAP,620,49.10858869552612
1016,Unbiased Kernel SHAP,620,10.37633490562439
1017,SHAP-IQ,620,10.344784021377563
1018,STAR-SHAP (5-STAR),670,6.282188892364502
1019,Kernel SHAP,670,47.757739782333374
1020,Unbiased Kernel SHAP,670,11.302776336669922
1021,SHAP-IQ,670,11.2230966091156
1022,STAR-SHAP (5-STAR),720,6.4087371826171875
1023,Kernel SHAP,720,56.295777559280396
1024,Unbiased Kernel SHAP,720,12.183208465576172
