,Algorithm,n,time,max fs size,mean MSE,budget,r2
0,2-STAR-SHAP,500,0.22053313255310059,2,0.0,,
1,SHAP-IQ,500,33.337676763534546,2,,3164.0,-0.22759343499435358
2,SHAP-IQ,500,33.743167877197266,2,,3164.0,-0.26565322753528164
3,SHAP-IQ,500,33.64414381980896,2,,3164.0,-0.28640224698788797
4,SHAP-IQ,500,33.56034326553345,2,,3164.0,-0.23229169012236683
5,SHAP-IQ,500,33.3653998374939,2,,3164.0,-0.3501038523499853
6,SHAP-IQ,500,33.22773575782776,2,,3164.0,-0.31458047931203104
7,SHAP-IQ,500,33.5589554309845,2,,3164.0,-0.2868152058951703
8,SHAP-IQ,500,33.696316719055176,2,,3164.0,-0.2992634324342045
9,SHAP-IQ,500,33.50834345817566,2,,3164.0,-0.2937598884815915
10,SHAP-IQ,500,33.74613332748413,2,,3164.0,-0.275518265573238
11,SHAP-IQ,500,40.49851059913635,2,,3690.0,-0.06495106638958559
12,SHAP-IQ,500,40.43778920173645,2,,3690.0,-0.10400906361126583
13,SHAP-IQ,500,40.583027362823486,2,,3690.0,-0.07908589351975226
14,SHAP-IQ,500,40.57626986503601,2,,3690.0,-0.05444822070611188
15,SHAP-IQ,500,40.72003483772278,2,,3690.0,-0.10864501809886029
16,SHAP-IQ,500,40.70224189758301,2,,3690.0,-0.12109415246747468
17,SHAP-IQ,500,40.63792705535889,2,,3690.0,-0.10072182448994149
18,SHAP-IQ,500,40.6815459728241,2,,3690.0,-0.1380294938915121
19,SHAP-IQ,500,40.567689180374146,2,,3690.0,-0.08983804664345785
20,SHAP-IQ,500,40.59798312187195,2,,3690.0,-0.055730865340143154
21,SHAP-IQ,500,47.679229736328125,2,,4216.0,0.011249768856124609
22,SHAP-IQ,500,48.02680540084839,2,,4216.0,0.044334888184128785
23,SHAP-IQ,500,47.83459401130676,2,,4216.0,0.06420546742138233
24,SHAP-IQ,500,47.85609173774719,2,,4216.0,0.05365604801104451
25,SHAP-IQ,500,47.8124794960022,2,,4216.0,0.07083436199230142
26,SHAP-IQ,500,47.87274241447449,2,,4216.0,0.0036107626385619707
27,SHAP-IQ,500,47.66650199890137,2,,4216.0,0.02754178689299125
28,SHAP-IQ,500,47.85384654998779,2,,4216.0,0.011833355956329727
29,SHAP-IQ,500,47.88068127632141,2,,4216.0,0.029235959434785852
30,SHAP-IQ,500,47.58883261680603,2,,4216.0,-0.0030791012216484503
31,SHAP-IQ,500,54.44894981384277,2,,4742.0,0.13917627111683528
32,SHAP-IQ,500,54.540522813797,2,,4742.0,0.16171354646610214
33,SHAP-IQ,500,54.754292011260986,2,,4742.0,0.20085441341749655
34,SHAP-IQ,500,54.77471566200256,2,,4742.0,0.156906858063672
35,SHAP-IQ,500,54.622241735458374,2,,4742.0,0.19899700225283545
36,SHAP-IQ,500,54.8429491519928,2,,4742.0,0.1464688146755645
37,SHAP-IQ,500,54.555272579193115,2,,4742.0,0.2008721171740947
38,SHAP-IQ,500,54.699307441711426,2,,4742.0,0.1553056872002011
39,SHAP-IQ,500,54.67100524902344,2,,4742.0,0.14149980555279418
40,SHAP-IQ,500,54.549036502838135,2,,4742.0,0.12588630375729104
41,SHAP-IQ,500,60.67259669303894,2,,5267.0,0.23945787208738722
42,SHAP-IQ,500,60.77292275428772,2,,5267.0,0.26688559607407203
43,SHAP-IQ,500,60.77945899963379,2,,5267.0,0.22643533564202
44,SHAP-IQ,500,60.927024126052856,2,,5267.0,0.24126009313391328
45,SHAP-IQ,500,60.88880372047424,2,,5267.0,0.21911453514042822
46,SHAP-IQ,500,60.90468645095825,2,,5267.0,0.2542587354836471
47,SHAP-IQ,500,61.08562088012695,2,,5267.0,0.2386959779781782
48,SHAP-IQ,500,60.734095096588135,2,,5267.0,0.24292333628004292
49,SHAP-IQ,500,61.03449058532715,2,,5267.0,0.2467281878403068
50,SHAP-IQ,500,60.908592224121094,2,,5267.0,0.23489498344317583
51,SHAP-IQ,500,66.7198715209961,2,,5793.0,0.2968565910550196
52,SHAP-IQ,500,67.22251343727112,2,,5793.0,0.32309676889561123
53,SHAP-IQ,500,67.21854758262634,2,,5793.0,0.3026702847926058
54,SHAP-IQ,500,67.26585412025452,2,,5793.0,0.34654275629140674
55,SHAP-IQ,500,67.14572882652283,2,,5793.0,0.3068730282415961
56,SHAP-IQ,500,67.39235782623291,2,,5793.0,0.30575235615150476
57,SHAP-IQ,500,67.23856830596924,2,,5793.0,0.31696976533615284
58,SHAP-IQ,500,67.13120555877686,2,,5793.0,0.3244989048909953
59,SHAP-IQ,500,67.41017746925354,2,,5793.0,0.3167238454709237
60,SHAP-IQ,500,67.4580078125,2,,5793.0,0.3085479885751101
61,SHAP-IQ,500,73.48420882225037,2,,6319.0,0.36690617313396756
62,SHAP-IQ,500,73.48823833465576,2,,6319.0,0.3539276751917799
63,SHAP-IQ,500,73.43996834754944,2,,6319.0,0.3716849026047049
64,SHAP-IQ,500,73.35563516616821,2,,6319.0,0.3552179355134133
65,SHAP-IQ,500,73.59728860855103,2,,6319.0,0.36354408804803484
66,SHAP-IQ,500,73.65848875045776,2,,6319.0,0.35714440157932437
67,SHAP-IQ,500,73.44527959823608,2,,6319.0,0.38505624237814584
68,SHAP-IQ,500,73.11327028274536,2,,6319.0,0.3635437435638099
69,SHAP-IQ,500,73.22537088394165,2,,6319.0,0.3946055674088428
70,SHAP-IQ,500,73.40434622764587,2,,6319.0,0.3594000757444029
71,SHAP-IQ,500,77.2941062450409,2,,6845.0,0.4272152708350576
72,SHAP-IQ,500,77.35687160491943,2,,6845.0,0.38423297206034956
73,SHAP-IQ,500,77.6056740283966,2,,6845.0,0.40788753368460284
74,SHAP-IQ,500,77.32026553153992,2,,6845.0,0.3978473968783328
75,SHAP-IQ,500,77.46500039100647,2,,6845.0,0.4146235032780917
76,SHAP-IQ,500,76.94200205802917,2,,6845.0,0.39324578267481636
77,SHAP-IQ,500,77.65114378929138,2,,6845.0,0.36675171331156586
78,SHAP-IQ,500,77.21982264518738,2,,6845.0,0.38735468690167196
79,SHAP-IQ,500,77.20391821861267,2,,6845.0,0.3989441575838708
80,SHAP-IQ,500,77.2165310382843,2,,6845.0,0.376922302563391
81,SHAP-IQ,500,83.01573157310486,2,,7371.0,0.4414791592841637
82,SHAP-IQ,500,83.44115042686462,2,,7371.0,0.4348532283500517
83,SHAP-IQ,500,82.94102144241333,2,,7371.0,0.4218623406132941
84,SHAP-IQ,500,82.82285690307617,2,,7371.0,0.4618831954856162
85,SHAP-IQ,500,82.72734570503235,2,,7371.0,0.4527824384668584
86,SHAP-IQ,500,82.66568064689636,2,,7371.0,0.4755256500504078
87,SHAP-IQ,500,83.31216239929199,2,,7371.0,0.43980223361527104
88,SHAP-IQ,500,83.28594446182251,2,,7371.0,0.44676495743844735
89,SHAP-IQ,500,83.26119470596313,2,,7371.0,0.408439818491357
90,SHAP-IQ,500,82.97934007644653,2,,7371.0,0.4471686012177144
91,SHAP-IQ,500,88.50256943702698,2,,7896.0,0.4802635945068092
92,SHAP-IQ,500,88.59155797958374,2,,7896.0,0.4846459892771341
93,SHAP-IQ,500,88.738525390625,2,,7896.0,0.4953778919290365
94,SHAP-IQ,500,88.85282635688782,2,,7896.0,0.49447046340616063
95,SHAP-IQ,500,88.69160628318787,2,,7896.0,0.49698188326765735
96,SHAP-IQ,500,88.3290274143219,2,,7896.0,0.46883179928518004
97,SHAP-IQ,500,88.5143826007843,2,,7896.0,0.4919342922924397
98,SHAP-IQ,500,89.03576397895813,2,,7896.0,0.4860450165299667
99,SHAP-IQ,500,88.52943825721741,2,,7896.0,0.4756449547958349
100,SHAP-IQ,500,88.92289066314697,2,,7896.0,0.4862971152942229
101,SHAP-IQ,500,109.10336112976074,2,,8422.0,0.5181543033007953
102,SHAP-IQ,500,110.3644425868988,2,,8422.0,0.5244485126041051
103,SHAP-IQ,500,111.07390260696411,2,,8422.0,0.5094996302924031
104,SHAP-IQ,500,111.65962362289429,2,,8422.0,0.5218789034120006
105,SHAP-IQ,500,109.62389540672302,2,,8422.0,0.5105404708467622
106,SHAP-IQ,500,111.86631488800049,2,,8422.0,0.5131618960548857
