,Algorithm,n,time,max fs size,mean MSE,budget,r2
0,2-STAR-SHAP,10,0.02185368537902832,2,0.0,,
1,SHAP-IQ,10,0.059716224670410156,2,,30.0,0.3391754996152555
2,SHAP-IQ,10,0.06033968925476074,2,,30.0,-0.07347490610200458
3,SHAP-IQ,10,0.05941581726074219,2,,30.0,0.36934585658156127
4,SHAP-IQ,10,0.05979609489440918,2,,30.0,0.0462532235721308
5,SHAP-IQ,10,0.05998826026916504,2,,30.0,-0.0012848224116728257
6,SHAP-IQ,10,0.06004786491394043,2,,30.0,0.1370159373412141
7,SHAP-IQ,10,0.06004452705383301,2,,30.0,0.26831712325798496
8,SHAP-IQ,10,0.0593867301940918,2,,30.0,0.3529070322650305
9,SHAP-IQ,10,0.06004142761230469,2,,30.0,0.07716022086526042
10,SHAP-IQ,10,0.05969691276550293,2,,30.0,-0.033620304627126174
11,SHAP-IQ,10,0.08562111854553223,2,,51.0,0.5335512625420209
12,SHAP-IQ,10,0.08690881729125977,2,,51.0,0.49092491435644303
13,SHAP-IQ,10,0.08507299423217773,2,,51.0,0.617453167738346
14,SHAP-IQ,10,0.08495521545410156,2,,51.0,0.4543792041082173
15,SHAP-IQ,10,0.08595037460327148,2,,51.0,0.7016338965421165
16,SHAP-IQ,10,0.08724689483642578,2,,51.0,0.6087033315751549
17,SHAP-IQ,10,0.08684778213500977,2,,51.0,0.42867010042368925
18,SHAP-IQ,10,0.08570337295532227,2,,51.0,0.3986172987713945
19,SHAP-IQ,10,0.08610653877258301,2,,51.0,0.5229182180147991
20,SHAP-IQ,10,0.08684802055358887,2,,51.0,0.641492048091121
21,SHAP-IQ,10,0.08870291709899902,2,,71.0,0.8237083835703647
22,SHAP-IQ,10,0.08911490440368652,2,,71.0,0.779453347627915
23,SHAP-IQ,10,0.0888824462890625,2,,71.0,0.77546081522492
24,SHAP-IQ,10,0.08943772315979004,2,,71.0,0.813394139444487
25,SHAP-IQ,10,0.08844470977783203,2,,71.0,0.7772090761758175
26,SHAP-IQ,10,0.08951950073242188,2,,71.0,0.8104646763902926
27,SHAP-IQ,10,0.08947157859802246,2,,71.0,0.7041481263464058
28,SHAP-IQ,10,0.08952212333679199,2,,71.0,0.7660449642530589
29,SHAP-IQ,10,0.08951067924499512,2,,71.0,0.7580401727833258
30,SHAP-IQ,10,0.08916878700256348,2,,71.0,0.7652092398208159
31,SHAP-IQ,10,0.11269545555114746,2,,92.0,0.806899527228227
32,SHAP-IQ,10,0.1130821704864502,2,,92.0,0.8151627761188163
33,SHAP-IQ,10,0.11304950714111328,2,,92.0,0.823949494937446
34,SHAP-IQ,10,0.11333298683166504,2,,92.0,0.8388459665428823
35,SHAP-IQ,10,0.11274337768554688,2,,92.0,0.8760961013829909
36,SHAP-IQ,10,0.11435651779174805,2,,92.0,0.813063256287384
37,SHAP-IQ,10,0.11307954788208008,2,,92.0,0.8419873763142677
38,SHAP-IQ,10,0.11293268203735352,2,,92.0,0.8125738738506565
39,SHAP-IQ,10,0.11307668685913086,2,,92.0,0.8487529619707953
40,SHAP-IQ,10,0.11300277709960938,2,,92.0,0.8731308117861929
41,SHAP-IQ,10,0.13548803329467773,2,,112.0,0.8642412309412311
42,SHAP-IQ,10,0.1354207992553711,2,,112.0,0.8413640368871558
43,SHAP-IQ,10,0.13675594329833984,2,,112.0,0.8863405511258504
44,SHAP-IQ,10,0.13524103164672852,2,,112.0,0.882785870593332
