,C,algorithm,alpha,base_model_class,base_model_params,batch_size,dataset,fit time,fs_length,fs_type,gamma,kernel,learning_rate,max_bins,max_depth,max_rounds,max_theta,min_samples_leaf,n_iter,norm,rademacher,regularization,sigma,test R2,train R2,train pred time
54,,RWSign 4-STAR,,<class 'Model.RWSign'>,{'max_theta': 0.9},50.0,wine,7.380849599838257,4,any,,,,,,,,,5000.0,1088.407492913567,314.24751739241054,1e-08,,0.8956486338338581,0.9880408797346424,0.8994574546813965
55,,RWRelu 4-STAR,,<class 'Model.RWRelu'>,{'max_theta': 0.5},50.0,wine,7.645013332366943,4,any,,,,,,,,,5000.0,340.2311511159557,79.58669555526275,1e-07,,0.8349281138328646,0.966294059651946,0.9527432918548584
56,,RWSign 5-STAR,,<class 'Model.RWSign'>,{'max_theta': 0.9},50.0,wine,7.173974275588989,5,any,,,,,,,,,5000.0,2668.625370109227,1033.8982529805078,1e-09,,0.8987711391850717,0.985206113430893,0.9016995429992676
57,,RWRelu 5-STAR,,<class 'Model.RWRelu'>,{'max_theta': 0.5},50.0,wine,7.436646461486816,5,any,,,,,,,,,5000.0,421.12536633444745,71.18590617394486,1e-07,,0.8365433190802453,0.943348824992406,0.963176727294922
58,,"RWSign [1, 2, 3, 4, 5]-STAR",,<class 'Model.RWSign'>,{'max_theta': 0.1},50.0,wine,7.573528051376343,"[1, 2, 3, 4, 5]",any,,,,,,,,,5000.0,860.62819122354,0.623826996044595,1e-08,,0.8399497701625795,0.9796667998388782,0.9171950817108154
59,,"RWRelu [1, 2, 3, 4, 5]-STAR",,<class 'Model.RWRelu'>,{'max_theta': 0.5},50.0,wine,7.872729301452637,"[1, 2, 3, 4, 5]",any,,,,,,,,,5000.0,20.942859095346662,1.0677586230791245,1e-05,,0.826441597109205,0.9629896172801748,0.944331169128418
60,,RWSign,,,,50.0,conductivity,5.51534914970398,,,,,,,,,0.5,,5000.0,1162.0854111705517,6997.928117723342,1e-09,,0.7277931344837805,0.7311467619960865,1.4852564334869385
61,,RWRelu,,,,50.0,conductivity,6.914996385574341,,,,,,,,,0.5,,5000.0,2608.716317081564,7245340.065330746,1e-09,,0.8423233323313597,0.8643292030561205,3.354887247085572
62,,RWStumps,,,,50.0,conductivity,5.177302598953247,,,0.1,,,,,,,,5000.0,2867.8053287673865,150.3538933311875,1e-09,1.0,0.8591949556325752,0.8803841749931817,2.5096511840820312
63,,RWSign 1-STAR,,<class 'Model.RWSign'>,{'max_theta': 0.9},50.0,conductivity,17.846907377243042,1,any,,,,,,,,,5000.0,0.1591796521977435,0.1543874663836801,0.01,,0.685006388742414,0.7017399310604312,6.6052069664001465
64,,RWRelu 1-STAR,,<class 'Model.RWRelu'>,{'max_theta': 0.9},50.0,conductivity,24.9827778339386,1,any,,,,,,,,,5000.0,37.5248334088854,5.573802483385768,1e-07,,0.7766721199084703,0.7854857282523299,9.472760677337646
65,,RWSign 2-STAR,,<class 'Model.RWSign'>,{'max_theta': 0.5},50.0,conductivity,15.321634769439695,2,any,,,,,,,,,5000.0,2972.2789792838053,14.85577425052577,1e-09,,0.8159096595456629,0.8298041471947435,7.353960275650024
66,,RWRelu 2-STAR,,<class 'Model.RWRelu'>,{'max_theta': 0.9},50.0,conductivity,22.069825649261475,2,any,,,,,,,,,5000.0,3462.286841701944,1640.4779064562313,1e-09,,0.8045850688236635,0.8160521968235142,10.091182708740234
67,,RWSign 3-STAR,,<class 'Model.RWSign'>,{'max_theta': 0.5},50.0,conductivity,15.42838454246521,3,any,,,,,,,,,5000.0,9875.881482848446,6.611487091776249,1e-09,,0.4683719133811203,0.4719569307585944,7.630890846252441
68,,RWRelu 3-STAR,,<class 'Model.RWRelu'>,{'max_theta': 0.9},50.0,conductivity,23.09073495864868,3,any,,,,,,,,,5000.0,9486.907323468764,588.8629221469293,1e-09,,0.5678807242940836,0.5699193816979016,10.91620421409607
69,,RWSign 4-STAR,,<class 'Model.RWSign'>,{'max_theta': 0.5},50.0,conductivity,16.103381395339966,4,any,,,,,,,,,5000.0,1133.4097445045609,0.5186304355151717,1e-09,,0.0028059594357863,0.0028486447683333,8.152500629425049
70,,RWRelu 4-STAR,,<class 'Model.RWRelu'>,{'max_theta': 0.9},50.0,conductivity,24.1107234954834,4,any,,,,,,,,,5000.0,3169.3264682123686,4.808205206926119,1e-09,,0.032041432119148,0.0332824985031636,11.644455432891846
71,,RWSign 5-STAR,,<class 'Model.RWSign'>,{'max_theta': 0.5},50.0,conductivity,17.20726490020752,5,any,,,,,,,,,5000.0,60.83418877230532,0.5049959027851357,1e-09,,-2.0723974457848016e-05,8.14179079156041e-06,8.854764938354492
72,,RWRelu 5-STAR,,<class 'Model.RWRelu'>,{'max_theta': 0.9},50.0,conductivity,25.514976739883423,5,any,,,,,,,,,5000.0,518.7801947588133,0.528195233215218,1e-09,,0.0005446999891698,0.0005952071385886,12.620703935623167
73,,"RWSign [1, 2, 3, 4, 5]-STAR",,<class 'Model.RWSign'>,{'max_theta': 0.5},50.0,conductivity,15.810662746429443,"[1, 2, 3, 4, 5]",any,,,,,,,,,5000.0,1436.383120534277,0.9522730042949744,1e-09,,0.6943527702965367,0.7103508723210616,8.242979049682617
74,,"RWRelu [1, 2, 3, 4, 5]-STAR",,<class 'Model.RWRelu'>,{'max_theta': 0.9},50.0,conductivity,22.92274785041809,"[1, 2, 3, 4, 5]",any,,,,,,,,,5000.0,1397.34756445864,2587.9906738624804,1e-09,,0.7787129767320108,0.7874278577436236,11.057927370071411
75,,RWSign,,,,50.0,abalone,1.7822842597961426,,,,,,,,,0.1,,5000.0,955.1751030654052,431.5229999877293,1e-08,,0.5781167003603824,0.604349447170778,0.3141121864318847
76,,RWRelu,,,,50.0,abalone,2.191569566726685,,,,,,,,,0.1,,5000.0,754.9992131820577,14561.527767800226,1e-08,,0.5773411768816008,0.6025317699230135,0.6801624298095703
77,,RWStumps,,,,50.0,abalone,1.8570420742034912,,,1.0,,,,,,,,5000.0,172.3420422739807,82.64170517059372,1e-07,1.0,0.5674472819830776,0.5771085419167937,0.4081230163574219
78,,RWSign 1-STAR,,<class 'Model.RWSign'>,{'max_theta': 0.9},50.0,abalone,38.16837406158447,1,any,,,,,,,,,5000.0,0.0346649390206634,0.3504001708487755,0.01,,0.3496003840415519,0.32221423622584,1.9243474006652832
79,,RWRelu 1-STAR,,<class 'Model.RWRelu'>,{'max_theta': 0.5},50.0,abalone,39.73924922943115,1,any,,,,,,,,,5000.0,0.412202838796151,0.2806226787786817,0.001,,0.5552638072719581,0.5605412121708164,2.763072967529297
80,,RWSign 2-STAR,,<class 'Model.RWSign'>,{'max_theta': 0.5},50.0,abalone,15.298348903656006,2,any,,,,,,,,,5000.0,1.017817793343464,0.2185029752024231,0.01,,0.5790749215193771,0.5941404914250676,2.1399168968200684
81,,RWRelu 2-STAR,,<class 'Model.RWRelu'>,{'max_theta': 0.9},50.0,abalone,16.785685777664185,2,any,,,,,,,,,5000.0,54.12051347482075,200.4637337742336,1e-06,,0.576520125676649,0.6041770275453784,2.6651058197021484
82,,RWSign 3-STAR,,<class 'Model.RWSign'>,{'max_theta': 0.5},50.0,abalone,11.314941883087158,3,any,,,,,,,,,5000.0,108.60922733757268,1.6404810910072118,1e-06,,0.5862421060829408,0.6059448224924302,2.160863161087036
83,,RWRelu 3-STAR,,<class 'Model.RWRelu'>,{'max_theta': 0.5},50.0,abalone,12.813027620315552,3,any,,,,,,,,,5000.0,224.9438213676819,465.8888437642268,1e-07,,0.579704505208562,0.6082651802121188,2.796393394470215
84,,RWSign 4-STAR,,<class 'Model.RWSign'>,{'max_theta': 0.1},50.0,abalone,10.619105577468872,4,any,,,,,,,,,5000.0,3796.408510856301,33.75139549030405,1e-09,,0.5846340671486934,0.6005228067624228,2.515121459960937
85,,RWRelu 4-STAR,,<class 'Model.RWRelu'>,{'max_theta': 0.5},50.0,abalone,11.964803695678713,4,any,,,,,,,,,5000.0,734.5275234465366,3254.4884121222303,1e-08,,0.5790636349292468,0.6050946786107859,2.896444797515869
86,,RWSign 5-STAR,,<class 'Model.RWSign'>,{'max_theta': 0.5},50.0,abalone,10.252442598342896,5,any,,,,,,,,,5000.0,1035.539821514842,51.74476452107176,1e-08,,0.5799660486887785,0.5914190636639993,2.331583261489868
87,,RWRelu 5-STAR,,<class 'Model.RWRelu'>,{'max_theta': 0.5},50.0,abalone,12.078662157058716,5,any,,,,,,,,,5000.0,781.4087723102429,3406.412992706119,1e-08,,0.5780924436040483,0.5984403597839838,3.029039144515991
88,,"RWSign [1, 2, 3, 4, 5]-STAR",,<class 'Model.RWSign'>,{'max_theta': 0.9},50.0,abalone,9.762014627456663,"[1, 2, 3, 4, 5]",any,,,,,,,,,5000.0,2442.0802150451686,218.8323010075498,1e-09,,0.5798093703963664,0.606734665905843,2.1597390174865723
