,Algorithm,n,time,max fs size,mean MSE,budget,r2
0,2-STAR-SHAP,100,0.018999576568603516,2,0.0,,
1,SHAP-IQ,100,0.18872427940368652,2,,1257.0,0.7203368646497237
2,SHAP-IQ,100,0.18400001525878906,2,,1257.0,0.7748252033714905
3,SHAP-IQ,100,0.37479209899902344,2,,2505.0,0.8685546436290393
4,SHAP-IQ,100,0.36996984481811523,2,,2505.0,0.8608370186689976
5,SHAP-IQ,100,0.5934329032897949,2,,3752.0,0.9041133123877027
6,SHAP-IQ,100,0.5925285816192627,2,,3752.0,0.9058507830323023
7,SHAP-IQ,100,0.7895364761352539,2,,5000.0,0.9359098961630866
8,SHAP-IQ,100,0.7890172004699707,2,,5000.0,0.9269767165517794
9,3-STAR-SHAP,100,0.0409998893737793,3,0.0,,
10,SHAP-IQ,100,0.18900012969970703,3,,1257.0,0.7445000286817611
11,SHAP-IQ,100,0.18520259857177734,3,,1257.0,0.767576765920889
12,SHAP-IQ,100,0.36899757385253906,3,,2505.0,0.8887111631852804
13,SHAP-IQ,100,0.36700010299682617,3,,2505.0,0.8878778381315356
14,SHAP-IQ,100,0.62994384765625,3,,3752.0,0.9256004897203163
15,SHAP-IQ,100,0.6671943664550781,3,,3752.0,0.9313133165347486
16,SHAP-IQ,100,0.8990020751953125,3,,5000.0,0.9468179392994457
17,SHAP-IQ,100,0.7890021800994873,3,,5000.0,0.9458526619455154
18,4-STAR-SHAP,100,0.08761429786682129,4,0.0,,
19,SHAP-IQ,100,0.18509626388549805,4,,1257.0,0.8350343718333415
20,SHAP-IQ,100,0.1830005645751953,4,,1257.0,0.8289694155769787
21,SHAP-IQ,100,0.3680002689361572,4,,2505.0,0.8987147119484549
22,SHAP-IQ,100,0.3659999370574951,4,,2505.0,0.9271993219108248
23,SHAP-IQ,100,0.5930156707763672,4,,3752.0,0.9361506668924259
24,SHAP-IQ,100,0.5961418151855469,4,,3752.0,0.9459660306822965
25,SHAP-IQ,100,0.8029155731201172,4,,5000.0,0.9523487872766487
26,SHAP-IQ,100,0.7926678657531738,4,,5000.0,0.9567147093572588
27,5-STAR-SHAP,100,0.19325041770935059,5,0.0,,
28,SHAP-IQ,100,0.18826556205749512,5,,1257.0,0.25671694054058747
29,SHAP-IQ,100,0.18479132652282715,5,,1257.0,0.46576115783212424
30,SHAP-IQ,100,0.37300539016723633,5,,2505.0,0.7448174073020053
31,SHAP-IQ,100,0.36701416969299316,5,,2505.0,0.6753795807375854
32,SHAP-IQ,100,0.5951905250549316,5,,3752.0,0.839684984936235
33,SHAP-IQ,100,0.5949938297271729,5,,3752.0,0.8075788225814736
34,SHAP-IQ,100,0.8229999542236328,5,,5000.0,0.8586699734898595
35,SHAP-IQ,100,0.7949998378753662,5,,5000.0,0.8743817263885134
36,6-STAR-SHAP,100,0.4225807189941406,6,0.0,,
37,SHAP-IQ,100,0.18519306182861328,6,,1257.0,0.6313776301970523
38,SHAP-IQ,100,0.18699884414672852,6,,1257.0,0.6257844025599659
39,SHAP-IQ,100,0.3710017204284668,6,,2505.0,0.8471042075615987
40,SHAP-IQ,100,0.368802547454834,6,,2505.0,0.8293649382180588
41,SHAP-IQ,100,0.5962655544281006,6,,3752.0,0.8864921127460238
42,SHAP-IQ,100,0.59796142578125,6,,3752.0,0.9074082240695995
43,SHAP-IQ,100,0.8035707473754883,6,,5000.0,0.9269118628615549
44,SHAP-IQ,100,0.8084218502044678,6,,5000.0,0.9315301515865224
45,7-STAR-SHAP,100,0.9182062149047852,7,0.0,,
46,SHAP-IQ,100,0.18900442123413086,7,,1257.0,0.6733667727374515
47,SHAP-IQ,100,0.1879885196685791,7,,1257.0,0.5579258843481631
48,SHAP-IQ,100,0.3740048408508301,7,,2505.0,0.8341042997886563
49,SHAP-IQ,100,0.37400197982788086,7,,2505.0,0.7854261475274693
50,SHAP-IQ,100,0.5970020294189453,7,,3752.0,0.8628052891564937
51,SHAP-IQ,100,0.6039061546325684,7,,3752.0,0.8976066428245896
52,SHAP-IQ,100,0.8023190498352051,7,,5000.0,0.9151922907355684
53,SHAP-IQ,100,0.8014860153198242,7,,5000.0,0.9123764041726016
