,Algorithm,n,time,max fs size,mean MSE,budget,r2
0,2-STAR-SHAP,100,0.10965847969055176,2,0.0,,
1,SHAP-IQ,100,0.47519779205322266,2,,2507.0,0.9342611483716888
2,SHAP-IQ,100,0.47626566886901855,2,,2507.0,0.9431552603667281
3,SHAP-IQ,100,0.9221937656402588,2,,5005.0,0.9713012093062463
4,SHAP-IQ,100,0.9164445400238037,2,,5005.0,0.9701855433408642
5,SHAP-IQ,100,1.3421990871429443,2,,7502.0,0.9811978067132893
6,SHAP-IQ,100,1.3881254196166992,2,,7502.0,0.9815556515150841
7,SHAP-IQ,100,1.9672832489013672,2,,10000.0,0.9884465098899012
8,SHAP-IQ,100,1.7687017917633057,2,,10000.0,0.9851559297151521
9,3-STAR-SHAP,100,0.21906328201293945,3,0.0,,
10,SHAP-IQ,100,0.48523855209350586,3,,2507.0,0.8620066915963023
11,SHAP-IQ,100,0.4815406799316406,3,,2507.0,0.883274414036422
12,SHAP-IQ,100,1.0862865447998047,3,,5005.0,0.9429434246949143
13,SHAP-IQ,100,0.9361782073974609,3,,5005.0,0.9463367775655027
14,SHAP-IQ,100,1.3690450191497803,3,,7502.0,0.9697144233614461
15,SHAP-IQ,100,1.364025592803955,3,,7502.0,0.9618708067701448
16,SHAP-IQ,100,1.8309166431427002,3,,10000.0,0.9733346289667841
17,SHAP-IQ,100,1.796227216720581,3,,10000.0,0.9742456471265073
18,4-STAR-SHAP,100,0.4555671215057373,4,0.0,,
19,SHAP-IQ,100,0.48750853538513184,4,,2507.0,0.9336536507522292
20,SHAP-IQ,100,0.48874521255493164,4,,2507.0,0.9232249051327576
21,SHAP-IQ,100,0.9538607597351074,4,,5005.0,0.9586914438807624
22,SHAP-IQ,100,0.951667070388794,4,,5005.0,0.9658863611963187
23,SHAP-IQ,100,1.4017951488494873,4,,7502.0,0.9804394538497161
24,SHAP-IQ,100,1.3821384906768799,4,,7502.0,0.9803212054678427
25,SHAP-IQ,100,1.8646373748779297,4,,10000.0,0.9822539974618132
26,SHAP-IQ,100,1.8265233039855957,4,,10000.0,0.983539223641554
27,5-STAR-SHAP,100,0.9904067516326904,5,0.0,,
28,SHAP-IQ,100,0.49381256103515625,5,,2507.0,0.8728658146911448
29,SHAP-IQ,100,0.49698400497436523,5,,2507.0,0.8740060417429911
30,SHAP-IQ,100,0.9677166938781738,5,,5005.0,0.9350149236471603
31,SHAP-IQ,100,0.9909491539001465,5,,5005.0,0.9396031849339751
32,SHAP-IQ,100,1.4096040725708008,5,,7502.0,0.9566810885762631
33,SHAP-IQ,100,1.409207820892334,5,,7502.0,0.9575403748687215
34,SHAP-IQ,100,1.8622028827667236,5,,10000.0,0.9703718124129079
35,SHAP-IQ,100,1.8791887760162354,5,,10000.0,0.9710095542917523
36,6-STAR-SHAP,100,2.1171064376831055,6,0.0,,
37,SHAP-IQ,100,0.5007474422454834,6,,2507.0,0.9057509159414069
38,SHAP-IQ,100,0.5020463466644287,6,,2507.0,0.8891211458415873
39,SHAP-IQ,100,0.9830327033996582,6,,5005.0,0.9522324194816998
40,SHAP-IQ,100,0.9731268882751465,6,,5005.0,0.9513146830815247
41,SHAP-IQ,100,1.4920072555541992,6,,7502.0,0.9701732993648539
42,SHAP-IQ,100,1.4132730960845947,6,,7502.0,0.9680750704456638
43,SHAP-IQ,100,1.9036471843719482,6,,10000.0,0.9772872105876494
44,SHAP-IQ,100,1.8668463230133057,6,,10000.0,0.9761166850334221
45,7-STAR-SHAP,100,4.642041444778442,7,0.0,,
46,SHAP-IQ,100,0.5190026760101318,7,,2507.0,0.8872139849457897
47,SHAP-IQ,100,0.5111467838287354,7,,2507.0,0.8860969332359855
48,SHAP-IQ,100,1.0691580772399902,7,,5005.0,0.9441831072832394
49,SHAP-IQ,100,0.995581865310669,7,,5005.0,0.953599783452403
50,SHAP-IQ,100,1.443415641784668,7,,7502.0,0.961197982498577
51,SHAP-IQ,100,1.4377546310424805,7,,7502.0,0.9670913712210897
52,SHAP-IQ,100,1.897129774093628,7,,10000.0,0.9746490288985221
53,SHAP-IQ,100,1.9618959426879883,7,,10000.0,0.969618889784787
54,8-STAR-SHAP,100,9.913197994232178,8,0.0,,
55,SHAP-IQ,100,0.5125577449798584,8,,2507.0,0.867005667195288
56,SHAP-IQ,100,0.5230114459991455,8,,2507.0,0.836774842389698
57,SHAP-IQ,100,1.0092389583587646,8,,5005.0,0.9315012979072299
58,SHAP-IQ,100,1.0015647411346436,8,,5005.0,0.9427242283394391
59,SHAP-IQ,100,1.4587945938110352,8,,7502.0,0.9557214893860011
60,SHAP-IQ,100,1.4890460968017578,8,,7502.0,0.95969521347176
61,SHAP-IQ,100,2.014697313308716,8,,10000.0,0.9740863367078652
62,SHAP-IQ,100,1.9682364463806152,8,,10000.0,0.9642594742348296
