,Algorithm,n,time,max fs size,mean MSE,budget,r2
0,2-STAR-SHAP,10,0.021137237548828125,2,0.0,,
1,SHAP-IQ,10,0.05756115913391113,2,,30.0,0.06594137248327825
2,SHAP-IQ,10,0.05701494216918945,2,,30.0,-0.43172204547625537
3,SHAP-IQ,10,0.05777168273925781,2,,30.0,0.45855705569790295
4,SHAP-IQ,10,0.05714917182922363,2,,30.0,0.09832892535163507
5,SHAP-IQ,10,0.057053327560424805,2,,30.0,-0.10949302944612405
6,SHAP-IQ,10,0.05794954299926758,2,,30.0,-0.008722501490689538
7,SHAP-IQ,10,0.0578312873840332,2,,30.0,0.20548285100130126
8,SHAP-IQ,10,0.057409048080444336,2,,30.0,-0.08031574412375808
9,SHAP-IQ,10,0.05706357955932617,2,,30.0,-0.14588062479959207
10,SHAP-IQ,10,0.057129621505737305,2,,30.0,0.04618904250878242
11,SHAP-IQ,10,0.056983232498168945,2,,30.0,0.2752899959719344
12,SHAP-IQ,10,0.05737042427062988,2,,30.0,-0.2299274201928445
13,SHAP-IQ,10,0.058185577392578125,2,,30.0,0.10414453811375668
14,SHAP-IQ,10,0.05765056610107422,2,,30.0,-0.08305162130530142
15,SHAP-IQ,10,0.05742526054382324,2,,30.0,-0.15917776545048046
16,SHAP-IQ,10,0.05900764465332031,2,,30.0,0.3671369150883761
17,SHAP-IQ,10,0.057832956314086914,2,,30.0,-0.5692162978226836
18,SHAP-IQ,10,0.057974815368652344,2,,30.0,-0.6313763466857694
19,SHAP-IQ,10,0.05779838562011719,2,,30.0,0.26319939308659335
20,SHAP-IQ,10,0.05798482894897461,2,,30.0,0.3004060001007689
21,SHAP-IQ,10,0.08379817008972168,2,,51.0,0.5685270874778041
22,SHAP-IQ,10,0.08490896224975586,2,,51.0,0.35835926148110797
23,SHAP-IQ,10,0.08421993255615234,2,,51.0,0.5604120521977063
24,SHAP-IQ,10,0.08292698860168457,2,,51.0,0.5258702630083227
25,SHAP-IQ,10,0.08233523368835449,2,,51.0,0.5149913827007777
26,SHAP-IQ,10,0.0811161994934082,2,,51.0,0.4183880706112807
27,SHAP-IQ,10,0.08352184295654297,2,,51.0,0.5404513214706831
28,SHAP-IQ,10,0.08390522003173828,2,,51.0,0.6876294068771123
29,SHAP-IQ,10,0.08560609817504883,2,,51.0,0.5568271872306908
30,SHAP-IQ,10,0.08510160446166992,2,,51.0,0.6175674203812257
31,SHAP-IQ,10,0.08430218696594238,2,,51.0,0.388325439488313
